('传祺GS4 2015款 200T G-DCT豪华版', 'https://image1.guazistatic.com/qn180613060948a8aa9bcb1b1b6b0549eb26b822293b52.jpg', '2.7万公里', '8.80万', '14.80万')
('传祺GS5 2012款 2.0L 自动两驱尊贵版', 'https://image.guazistatic.com/gz01180525/12/53/1d4b6ee3fe9c76aaa6f64a8ea4f551da.jpg', '2017年', '6.50万', '20.30万')
('传祺GS4 2016款 235T G-DCT尊贵版', 'https://image.guazistatic.com/gz01180630/12/10/bc35bb861d3bf8cd7c05319ce1f32f63.jpg', '2.9万公里', '10.00万', '16.70万')
('传祺GS5 2012款 2.0L 手动两驱舒适版', 'https://image.guazistatic.com/gz01180414/17/14/d44ca983ce9cd2dac0af36853c2b2c89.jpg', '15.5万公里', '5.20万', '13.40万')
('传祺GS5 2012款 2.0L 自动两驱豪华版', 'https://image.guazistatic.com/gz01180627/18/30/7ca238b65f9fc2cd18a9cb9610e134e0.jpg', '1.4万公里', '6.00万', '17.30万')
('传祺GA6 2016款 235T 自动豪华版', 'https://image.guazistatic.com/gz01180701/15/45/403f3446d9574a4aae0283db21d9104e.jpg', '2017年', '9.50万', '14.80万')
('传祺GS4 2017款 235T 自动两驱豪华智联版', 'https://image1.guazistatic.com/qn180529150601f30de0fda3a0e384b503f8f0d319dbff.jpg', '2014年', '11.00万', '15.60万')
('传祺GS4 2015款 200T G-DCT尊贵版', 'https://image1.guazistatic.com/qn1807010559231a676d617b4e0724748e6cb713dfcfe2.jpg', '2014年', '9.00万', '15.90万')
('传祺GS4 2015款 200T G-DCT精英版', 'https://image1.guazistatic.com/qn180514193110f24d93868fc9b412b27323fc5b6d7ec7.jpg', '5.5万公里', '8.80万', '13.70万')
('传祺GA5 2012款 1.8L 手动精英型', 'https://image1.guazistatic.com/qn180528064840a0dc7a897a344ac5473b2618a7f87289.jpg', '4.0万公里', '4.20万', '13.70万')
('传祺GS4 2016款 235T G-DCT精英版', 'https://image.guazistatic.com/gz01180614/19/31/cd2be11be8f4579dd11afa35799b9c6b.jpg', '2013年', '10.00万', '14.50万')
('传祺GS4 2015款 200T 手动豪华版', 'https://image1.guazistatic.com/qn180710202806d1c16dcc2c0da8412ea82cac9d9f7c33.jpg', '8.5万公里', '7.20万', '12.80万')
('传祺GS5 2014款 2.0L 自动两驱超享版', 'https://image1.guazistatic.com/qn1803120838093d919c36746dbf1d3546adc01652a046.jpg', '2017年', '7.50万', '14.80万')
('传祺GS4 2015款 200T G-DCT豪华版', 'https://image.guazistatic.com/gz01180607/12/00/28d60530d449be33b84e5fd50b23dd32.jpg', '7.3万公里', '8.88万', '14.80万')
('传祺GA6 2015款 1.8T 自动豪华导航型', 'https://image.guazistatic.com/gz01180605/16/18/a56f91b005f26e84baac505a65da85c0.jpg', '2016年', '9.80万', '16.30万')
